"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
102,5,"5xAM + GxE",0.2,5,0.2,0,0.05,0.288059575296184,0.130839703779361,0.651846027374268,0.527655042376083
102,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.000819466692409525,-0.000105742621715697,0.501120471954346,0.497703352406105
102,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.31747116019102,0.0338798759945467,0.598488998413086,0.425470688924629
102,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.451867828093459,0.0533666098786824,0.676097750663757,0.391389940556255
102,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.514988771335581,0.0622392390112777,0.713244986534119,0.372809725676405
102,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.536791397354612,0.0659010388012686,0.727644717693329,0.364510664787251
102,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.562338308901919,0.0729047831693445,0.753037881851196,0.358243428846363
102,0,"5xAM + VT",0.2,5,0.2,0.05,0,0.00106899576931575,0.000141697882674407,0.500852978229523,0.499611201081249
102,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.320891897466802,0.034659490015448,0.607147753238678,0.42761601727416
102,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.454864044770949,0.0540993469680982,0.675937819480896,0.389437459433976
102,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.515592475181427,0.0640150804933942,0.715471851825714,0.371736404511207
102,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.541779225063604,0.0673694388863954,0.732429695129394,0.365674628681702
102,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.556821565502465,0.0732788526813957,0.748593986034393,0.357604191922627
102,0,"5xAM + VT",0.2,5,0.2,0.05,0,-0.0033015497532622,-0.000883219648485707,0.494300806522369,0.493139223457639
102,1,"5xAM + VT",0.2,5,0.2,0.05,0,0.314195293152242,0.0321483328759856,0.596387422084808,0.42433854262699
102,2,"5xAM + VT",0.2,5,0.2,0.05,0,0.457089327530033,0.0538396683313194,0.680581247806549,0.388968424997605
102,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.517631665812842,0.0636314363237795,0.721304821968079,0.369481733749923
102,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.550162149255381,0.0729608936230428,0.742977368831635,0.35687134531288
102,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.574757294557248,0.0754613298741433,0.780442011356354,0.354118363810253
102,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.00382627691933852,0.000878930905454362,0.499568217992783,0.49686005412742
102,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.323633175671134,0.0344453955100545,0.603122282028198,0.42028304938038
102,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.461948725739967,0.0512511057078015,0.663214457035065,0.375419811304605
102,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.52374777980695,0.0602995423011326,0.693316924571991,0.347682265095989
102,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.561698902223166,0.0632512927543303,0.690191125869751,0.327625986081039
102,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.580096859721254,0.0614429726228901,0.671694469451904,0.311610231408431
102,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.00193002186351241,0.000891076927535692,0.498259222507477,0.499174123064186
102,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.324942151007788,0.0344984608378557,0.598662090301514,0.420908644646325
102,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.473386379177756,0.0547113519764398,0.665979838371277,0.374761655750623
102,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.539060360721406,0.0628516869314753,0.696295559406281,0.349533296526513
102,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.569591975111923,0.0657640315059567,0.711500906944275,0.32938974184786
102,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.600182741006279,0.0657200070017582,0.698085355758667,0.30833333981017
102,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,-0.00340492746871153,-0.00106512295129248,0.494658780097961,0.494281339344142
102,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.313597025803582,0.031927682199093,0.595682573318481,0.418769903013356
102,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.467849470491121,0.0525549495146915,0.658724641799927,0.374579399990017
102,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.525369623479407,0.0590603108859067,0.685932016372681,0.34715829782393
102,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.549401574506619,0.0616071407458863,0.69231606721878,0.326889623788828
102,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.571672249940123,0.0613507547728099,0.69088419675827,0.311828618305774
103,0,"5xAM",0.2,5,0.2,0,0,-0.000536269960888303,-0.000497364157319909,0.51162536740303,0.511548683402312
103,1,"5xAM",0.2,5,0.2,0,0,0.106809291863618,0.0483357793156954,0.55780383348465,0.524040634811982
103,2,"5xAM",0.2,5,0.2,0,0,0.175238972952028,0.0818405531948627,0.592845809459686,0.52961612801518
