"gen","seed","scenario","variable","var_label","value","intercept"
5,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.570638993409647,0
0,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.00278879855939227,0
1,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.314801638998014,0
2,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.457696131607933,0
3,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.523603989543708,0
4,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.549310314639937,0
5,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.556841747325402,0
0,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",-0.000872611065152408,0
1,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.307068410242761,0
2,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.453637043826421,0
3,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.524023391852503,0
4,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.540124161704695,0
5,101,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.561162949942844,0
0,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",-0.00133980025021346,0
1,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.316560565243855,0
2,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.459076454667655,0
3,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.527030951167657,0
4,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.566742050241613,0
5,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.600735355966772,0
0,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.000810710138898899,0
1,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.318244282646609,0
2,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.473020351800003,0
3,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.534422473668918,0
4,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.553522903741662,0
5,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.583444524460414,0
0,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",4.64242554775732e-05,0
1,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.318701832048067,0
2,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.460184158287003,0
3,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.532457113176746,0
4,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.553036090333129,0
5,101,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.580838413481753,0
0,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.000567816499473661,0
1,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.0995659165537746,0
2,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.178374417480953,0
3,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.234583663675917,0
4,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.256306001164815,0
5,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.28809132745763,0
0,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.000663317730408638,0
1,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.0998059787862197,0
2,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.171197557530607,0
3,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.222870297124527,0
4,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.26145900589084,0
5,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.291582785411687,0
0,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.00258177077091392,0
1,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.101128655419011,0
2,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.170026464400475,0
3,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.221665564505531,0
4,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.270206237589109,0
5,102,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.294942794130843,0
0,102,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.000358324584785308,0
1,102,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.102324078311242,0
2,102,"5xAM + GxE","rbeta_HE","hat(italic(r))[beta]",0.178717022570246,0
