"seed","gen","variable","value","type","traits"
44,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.07300489933537,"rgHE","edu / height"
44,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.02833669260443,"rgHE","edu / height"
44,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01304646951971,"rgHE","edu / height"
44,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.11556388721627,"rgHE","edu / height"
44,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.992330075016793,"rgHE","edu / height"
45,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
45,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.0928082889582,"rgHE","edu / height"
45,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01639359741051,"rgHE","edu / height"
45,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.95461011861397,"rgHE","edu / height"
45,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05354034814856,"rgHE","edu / height"
45,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01169974899495,"rgHE","edu / height"
46,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.079111234739949,"rgHE","edu / height"
46,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05526142033779,"rgHE","edu / height"
46,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.995028678694781,"rgHE","edu / height"
46,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.991084787141484,"rgHE","edu / height"
46,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.981009351691982,"rgHE","edu / height"
46,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01113108365835,"rgHE","edu / height"
47,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.160171836108389,"rgHE","edu / height"
47,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.960992580801513,"rgHE","edu / height"
47,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00585111011443,"rgHE","edu / height"
47,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.951055709428591,"rgHE","edu / height"
47,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.982663718446062,"rgHE","edu / height"
