"seed","gen","variable","value","Outcome","Quantity"
75,1,"h2HE_height",0.637749671936035,"height","h2_HE"
75,2,"h2HE_height",0.673975944519043,"height","h2_HE"
75,3,"h2HE_height",0.694885432720184,"height","h2_HE"
75,4,"h2HE_height",0.69733452796936,"height","h2_HE"
75,5,"h2HE_height",0.726413667201996,"height","h2_HE"
76,0,"h2HE_height",0.60963100194931,"height","h2_HE"
76,1,"h2HE_height",0.652089416980743,"height","h2_HE"
76,2,"h2HE_height",0.688001036643982,"height","h2_HE"
76,3,"h2HE_height",0.730601370334625,"height","h2_HE"
76,4,"h2HE_height",0.738164067268372,"height","h2_HE"
76,5,"h2HE_height",0.742635726928711,"height","h2_HE"
77,0,"h2HE_height",0.610282003879547,"height","h2_HE"
77,1,"h2HE_height",0.655515074729919,"height","h2_HE"
77,2,"h2HE_height",0.693115592002869,"height","h2_HE"
77,3,"h2HE_height",0.725463271141052,"height","h2_HE"
77,4,"h2HE_height",0.74145495891571,"height","h2_HE"
77,5,"h2HE_height",0.723919868469238,"height","h2_HE"
78,0,"h2HE_height",0.592466533184052,"height","h2_HE"
78,1,"h2HE_height",0.640152096748352,"height","h2_HE"
78,2,"h2HE_height",0.674498558044434,"height","h2_HE"
78,3,"h2HE_height",0.689409852027893,"height","h2_HE"
78,4,"h2HE_height",0.716127753257751,"height","h2_HE"
